77|아마데우스|/movie/bi/mi/basic.naver?code=10114|9.34
78|알라딘|/movie/bi/mi/basic.naver?code=13008|9.34
79|자산어보|/movie/bi/mi/basic.naver?code=189075|9.34
80|빌리 엘리어트|/movie/bi/mi/basic.naver?code=31013|9.34
81|두 교황|/movie/bi/mi/basic.naver?code=189111|9.33
82|그대를 사랑합니다|/movie/bi/mi/basic.naver?code=73476|9.33
83|아이 엠 샘|/movie/bi/mi/basic.naver?code=34227|9.33
84|프리 윌리|/movie/bi/mi/basic.naver?code=16466|9.33
85|언터처블: 1%의 우정|/movie/bi/mi/basic.naver?code=87566|9.33
86|피아니스트|/movie/bi/mi/basic.naver?code=35187|9.33
87|오세암|/movie/bi/mi/basic.naver?code=34181|9.33
88|천공의 성 라퓨타|/movie/bi/mi/basic.naver?code=18782|9.33
89|언더독|/movie/bi/mi/basic.naver?code=144318|9.33
90|아이언 자이언트|/movie/bi/mi/basic.naver?code=25915|9.33
91|업|/movie/bi/mi/basic.naver?code=52120|9.33
92|라푼젤|/movie/bi/mi/basic.naver?code=75470|9.33
93|시네마 천국|/movie/bi/mi/basic.naver?code=10001|9.33
94|프리퀀시|/movie/bi/mi/basic.naver?code=29657|9.33
95|드래곤 길들이기|/movie/bi/mi/basic.naver?code=70457|9.33
96|해리 포터와 죽음의 성물 - 2부|/movie/bi/mi/basic.naver?code=47528|9.33
97|달링|/movie/bi/mi/basic.naver?code=152655|9.32
98|소원|/movie/bi/mi/basic.naver?code=103535|9.32
99|러브 유어셀프 인 서울|/movie/bi/mi/basic.naver?code=180220|9.32
100|브레이크 더 사일런스: 더 무비|/movie/bi/mi/basic.naver?code=195975|9.32
101|코코|/movie/bi/mi/basic.naver?code=151728|9.32
102|블라인드 사이드|/movie/bi/mi/basic.naver?code=71081|9.32
103|토이 스토리|/movie/bi/mi/basic.naver?code=17153|9.32
104|모던 타임즈|/movie/bi/mi/basic.naver?code=10249|9.32
105|주먹왕 랄프|/movie/bi/mi/basic.naver?code=87307|9.32
106|늑대와 춤을|/movie/bi/mi/basic.naver?code=10244|9.32
107|패왕별희 디 오리지널|/movie/bi/mi/basic.naver?code=14448|9.32
108|뷰티풀 투모로우|/movie/bi/mi/basic.naver?code=169561|9.32
109|우리들의 일그러진 영웅|/movie/bi/mi/basic.naver?code=12297|9.32
110|쥬라기 공원|/movie/bi/mi/basic.naver?code=13500|9.32
111|에이 아이|/movie/bi/mi/basic.naver?code=31268|9.31
112|코러스|/movie/bi/mi/basic.naver?code=39584|9.31
113|폴리스 스토리|/movie/bi/mi/basic.naver?code=10746|9.31
114|폴란드로 간 아이들|/movie/bi/mi/basic.naver?code=178434|9.31
115|다이 하드|/movie/bi/mi/basic.naver?code=10012|9.31
116|번 더 스테이지: 더 무비|/movie/bi/mi/basic.naver?code=176354|9.31
117|라따뚜이|/movie/bi/mi/basic.naver?code=65021|9.31
118|소울|/movie/bi/mi/basic.naver?code=184517|9.31
119|바람계곡의 나우시카|/movie/bi/mi/basic.naver?code=18052|9.30
120|바이센테니얼 맨|/movie/bi/mi/basic.naver?code=28788|9.30
121|8월의 크리스마스|/movie/bi/mi/basic.naver?code=18817|9.30
122|반지의 제왕: 반지 원정대|/movie/bi/mi/basic.naver?code=31794|9.30
123|몬스터 주식회사 3D|/movie/bi/mi/basic.naver?code=32112|9.30
124|엽기적인 그녀|/movie/bi/mi/basic.naver?code=31726|9.30
125|오페라의 유령 : 25주년 특별 공연|/movie/bi/mi/basic.naver?code=89752|9.30
126|교회오빠|/movie/bi/mi/basic.naver?code=183132|9.30
127|타잔|/movie/bi/mi/basic.naver?code=25266|9.30
128|일급 살인|/movie/bi/mi/basic.naver?code=17869|9.29
129|메리 포핀스|/movie/bi/mi/basic.naver?code=11608|9.29
130|플립|/movie/bi/mi/basic.naver?code=76309|9.29
131|보디가드|/movie/bi/mi/basic.naver?code=17111|9.29
132|동방불패|/movie/bi/mi/basic.naver?code=11104|9.29
133|허스토리|/movie/bi/mi/basic.naver?code=167787|9.29
134|천녀유혼|/movie/bi/mi/basic.naver?code=10670|9.29
135|라이온 킹|/movie/bi/mi/basic.naver?code=16521|9.29
136|뽀로로 극장판 보물섬 대모험|/movie/bi/mi/basic.naver?code=183136|9.29
137|영웅: 샐러멘더의 비밀|/movie/bi/mi/basic.naver?code=51708|9.29
138|내 이름은 칸|/movie/bi/mi/basic.naver?code=70651|9.29
139|록키|/movie/bi/mi/basic.naver?code=10021|9.29
140|시월애|/movie/bi/mi/basic.naver?code=30306|9.29
141|인생|/movie/bi/mi/basic.naver?code=16531|9.29
142|나, 다니엘 블레이크|/movie/bi/mi/basic.naver?code=150376|9.29
143|명탐정 코난: 베이커가의 망령|/movie/bi/mi/basic.naver?code=38613|9.28
144|언플랜드|/movie/bi/mi/basic.naver?code=182525|9.28
145|자백|/movie/bi/mi/basic.naver?code=146534|9.28
146|우리들|/movie/bi/mi/basic.naver?code=146504|9.28
147|천국의 아이들|/movie/bi/mi/basic.naver?code=29571|9.28
148|공동경비구역 JSA|/movie/bi/mi/basic.naver?code=15899|9.28
149|퀸 락 몬트리올|/movie/bi/mi/basic.naver?code=54900|9.28
150|빌리 엘리어트 뮤지컬 라이브|/movie/bi/mi/basic.naver?code=125724|9.28
151|극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들|/movie/bi/mi/basic.naver?code=205968|9.28
152|소년시절의 너|/movie/bi/mi/basic.naver?code=192066|9.28
153|더 코브: 슬픈 돌고래의 진실|/movie/bi/mi/basic.naver?code=53951|9.27
154|랜드 오브 마인|/movie/bi/mi/basic.naver?code=144100|9.27
155|맨발의 꿈|/movie/bi/mi/basic.naver?code=51083|9.27
156|극장판 귀멸의 칼날: 무한열차편|/movie/bi/mi/basic.naver?code=196051|9.27
157|바람|/movie/bi/mi/basic.naver?code=70773|9.27
158|마이클 잭슨의 디스 이즈 잇|/movie/bi/mi/basic.naver?code=70251|9.27
159|말할 수 없는 비밀|/movie/bi/mi/basic.naver?code=68555|9.27
160|세상에서 가장 아름다운 이별|/movie/bi/mi/basic.naver?code=79762|9.27
161|가타카|/movie/bi/mi/basic.naver?code=19074|9.27
162|에이트 빌로우|/movie/bi/mi/basic.naver?code=58323|9.27
